Name,Url,Duration (min),Review_no,Price,Address,Operating_hours,Ratings,Image_url,Area,Category
Henderson Waves,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3561693-Reviews-Henderson_Waves-Singapore.html,150,629,,"221 Henderson Road Henderson Building, Singapore 159557 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ce/ec/4f/20180428-074507-largejpg.jpg?w=1200&h=-1&s=1,Telok Blangah Drive,Sights and landmarks 
Arab Street,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d324757-Reviews-Arab_Street-Singapore.html,150,2300,,"Arab Street, 49, Singapore, Arab, Kampong Glam, Beach Road, Central, Singapore 199746 Singapore","{""Sunday"":[""1100"",""2100""],""Monday"":[""1100"",""2100""],""Tuesday"":[""1100"",""2100""],""Wednesday"":[""1100"",""2100""],""Thursday"":[""1100"",""2100""],""Friday"":[""1100"",""2100""],""Saturday"":[""1100"",""2100""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/fc/d3/54/photo1jpg.jpg?w=1200&h=-1&s=1,Central Area/City Area,Sights and landmarks 
Chijmes,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d338376-Reviews-Chijmes-Singapore.html,60,760,,"30 Victoria Street Chijmes, Singapore 187996 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d6/37/e3/caption.jpg?w=1200&h=-1&s=1,City Hall,Sights and landmarks 
National Gallery Singapore,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8077179-Reviews-National_Gallery_Singapore-Singapore.html,150,1284,,"1 St. Andrew's Road #01-01 National Gallery Singapore, Singapore 178957 Singapore","{""Sunday"":[""1000"",""1900""],""Monday"":[""1000"",""1900""],""Tuesday"":[""1000"",""1900""],""Wednesday"":[""1000"",""1900""],""Thursday"":[""1000"",""1900""],""Friday"":[""1000"",""1900""],""Saturday"":[""1000"",""1900""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/0e/02/f2/the-national-gallery.jpg?w=1200&h=-1&s=1,City Hall,Sights and landmarks 
OCBC Skyway,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d10229455-Reviews-OCBC_Skyway-Singapore.html,30,572,20,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore","{""Sunday"":[""""],""Monday"":[""""],""Tuesday"":[""""],""Wednesday"":[""""],""Thursday"":[""""],""Friday"":[""""],""Saturday"":[""""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6d/a4/35/singapore-super-tree.jpg?w=1200&h=-1&s=1,Central Area/City Area,Sights and landmarks 
Battlebox,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d9859121-Reviews-Battlebox-Singapore.html,90,2541,,"2 Cox Terrace Fort Canning Park, Singapore 179622 Singapore","{""Sunday"":[""0930"",""1730""],""Monday"":[],""Tuesday"":[],""Wednesday"":[],""Thursday"":[],""Friday"":[""0930"",""1730""],""Saturday"":[""0930"",""1730""]}",5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f7/96/03/battlebox-at-fort-canning.jpg?w=1200&h=-1&s=1,Museum,Sights and landmarks 
Haji Lane,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d3512383-Reviews-Haji_Lane-Singapore.html,60,1043,,"21A Haji Lane, Singapore 189214 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7a/e3/d6/beautiful-paintings-haji.jpg?w=900&h=-1&s=1,Central Area/City Area,Sights and landmarks 
Orchard Road,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317454-Reviews-Orchard_Road-Singapore.html,210,13502,,"Orchard Road, 33A, Singapore, Orchard, Orchard Road, Singapore 238897 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/cd/fd/retail-and-entertainment.jpg?w=1200&h=-1&s=1,Somerset,Sights and landmarks 
Merlion Park,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html,90,9549,,"1 Fullerton Road One Fullerton Merlion Park, Singapore 049213 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/4d/a7/97/photo2jpg.jpg?w=1100&h=-1&s=1,Marina Bay,Sights and landmarks 
Buddha Tooth Relic Temple and Museum,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1438273-Reviews-Buddha_Tooth_Relic_Temple_and_Museum-Singapore.html,30,6427,,"288 South Bridge Road, Singapore 058840 Singapore","{""Sunday"":[""0700"",""1900""],""Monday"":[""0700"",""1900""],""Tuesday"":[""0700"",""1900""],""Wednesday"":[""0700"",""1900""],""Thursday"":[""0700"",""1900""],""Friday"":[""0700"",""1900""],""Saturday"":[""0700"",""1900""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e7/d1/3c/rooftop-garden-that-is.jpg?w=1200&h=-1&s=1,Outram,Sights and landmarks 
Chinatown,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html,90,14407,,"Crot Trengganu, Singapore 048942 Singapore","{""Sunday"":[""0800"",""0000""],""Monday"":[""0800"",""0000""],""Tuesday"":[""0800"",""0000""],""Wednesday"":[""0800"",""0000""],""Thursday"":[""0800"",""0000""],""Friday"":[""0800"",""0000""],""Saturday"":[""0800"",""0000""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/73/65/d0/photo9jpg.jpg?w=1200&h=-1&s=1,Outram,Sights and landmarks 
Singapore Cable Car,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html,90,4179,24.5,"109 Mount Faber Road Faber Peak, Singapore 099203 Singapore","{""Sunday"":[""0900"",""2200""],""Monday"":[""0900"",""2200""],""Tuesday"":[""0900"",""2200""],""Wednesday"":[""0900"",""2200""],""Thursday"":[""0900"",""2200""],""Friday"":[""0900"",""2200""],""Saturday"":[""0900"",""2200""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a4/4d/d1/singapore-cable-car.jpg?w=1200&h=-1&s=1, Mount Faber Park,Sights and landmarks 
Supertree Grove,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d8634325-Reviews-Supertree_Grove-Singapore.html,90,5978,,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/53/bd/1a/ocbc-skyway.jpg?w=1200&h=-1&s=1,Central Area/City Area,Sights and landmarks 
Singapore Flyer,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html,120,17339,36,"30 Raffles Avenue, Singapore 039803 Singapore","{""Sunday"":[""1500"",""2200""],""Monday"":[],""Tuesday"":[],""Wednesday"":[],""Thursday"":[""1500"",""2200""],""Friday"":[""1500"",""2200""],""Saturday"":[""1500"",""2200""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/97/54/a5/r65-memories-at-time.jpg?w=1200&h=-1&s=1,Central Area/City Area,Sights and landmarks 
Sands Skypark Observation Deck,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d1837767-Reviews-Sands_Skypark_Observation_Deck-Singapore.html,90,16866,23.47,"10 Bayfront Avenue Level 57, Marina Bay Sands Hotel, Singapore 018956 Singapore","{""Sunday"":[""0930"",""2200""],""Monday"":[""0930"",""2200""],""Tuesday"":[""0930"",""2200""],""Wednesday"":[""0930"",""2200""],""Thursday"":[""0930"",""2200""],""Friday"":[""0930"",""2200""],""Saturday"":[""0930"",""2200""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b0/6f/a0/the-sands-skypark-observation.jpg?w=1200&h=-1&s=1,Marina Bay,Sights and landmarks 
East Coast Park,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317426-Reviews-East_Coast_Park-Singapore.html,150,1221,,"Along East Coast Parkway and East Coast Park Service Road, Singapore 455486 Singapore","{""Sunday"":[""0000"",""2359""],""Monday"":[""0000"",""2359""],""Tuesday"":[""0000"",""2359""],""Wednesday"":[""0000"",""2359""],""Thursday"":[""0000"",""2359""],""Friday"":[""0000"",""2359""],""Saturday"":[""0000"",""2359""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/0f/b9/07/west-coast-park.jpg?w=1200&h=-1&s=1,Marine Parade,Nature and parks
Flower Dome,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4400784-Reviews-Flower_Dome-Singapore.html,150,6492,20,"18 Marina Gardens Drive Gardens By the Bay, Singapore 018953 Singapore","{""Sunday"":[""0900"",""2100""],""Monday"":[""0900"",""2100""],""Tuesday"":[""0900"",""2100""],""Wednesday"":[""0900"",""2100""],""Thursday"":[""0900"",""2100""],""Friday"":[""0900"",""2100""],""Saturday"":[""0900"",""2100""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8d/b7/e9/photo1jpg.jpg?w=1200&h=-1&s=1,Central Area/City Area,Nature and parks
National Orchid Garden,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d317453-Reviews-National_Orchid_Garden-Singapore.html,120,13829,10,"1 Cluny Rd Within the Singapore Botanic Gardens, Singapore 259569 Singapore","{""Sunday"":[""0800"",""1900""],""Monday"":[""0800"",""1900""],""Tuesday"":[""0800"",""1900""],""Wednesday"":[""0800"",""1900""],""Thursday"":[""0800"",""1900""],""Friday"":[""0800"",""1900""],""Saturday"":[""0800"",""1900""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/2c/fd/73/img-20190908-153849-largejpg.jpg?w=1200&h=-1&s=1,Tanglin,Nature and parks
Gardens by the Bay,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html,210,59539,12.83,"18 Marina Gardens Drive Bayfront Plaza, Singapore 018953 Singapore","{""Sunday"":[""0500"",""0200""],""Monday"":[""0500"",""0200""],""Tuesday"":[""0500"",""0200""],""Wednesday"":[""0500"",""0200""],""Thursday"":[""0500"",""0200""],""Friday"":[""0500"",""0200""],""Saturday"":[""0500"",""0200""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d9/0e/f0/gardens-by-the-bay.jpg?w=1200&h=-1&s=1,Central Area/City Area,Nature and parks
Singapore Botanic Gardens,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html,120,19830,,"1 Cluny Road, Singapore 259 569 Singapore","{""Sunday"":[""0500"",""0000""],""Monday"":[""0500"",""0000""],""Tuesday"":[""0500"",""0000""],""Wednesday"":[""0500"",""0000""],""Thursday"":[""0500"",""0000""],""Friday"":[""0500"",""0000""],""Saturday"":[""0500"",""0000""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7f/e5/ce/beautiful-botanic-gardens.jpg?w=700&h=-1&s=1,Tanglin,Nature and parks
SIngapore zoo,https://www.mandai.com//en/ticketing/admission-and-rides/tickets-selection.html?intcmp=chatbot,210,22374,48,"80 Mandai Lake Road, Singapore 729826 Singapore","{""Sunday"":[""0830"",""1800""],""Monday"":[""0830"",""1800""],""Tuesday"":[""0830"",""1800""],""Wednesday"":[""0830"",""1800""],""Thursday"":[""0830"",""1800""],""Friday"":[""0830"",""1800""],""Saturday"":[""0830"",""1800""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/d8/92/9b/rhino-feeding.jpg?w=1200&h=-1&s=1,Central Water Catchment,Nature and parks
Cloud Forest,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d4400781-Reviews-Cloud_Forest-Singapore.html,180,14931,20,"18 Marina Gardens Drive, Singapore 018953 Singapore","{""Sunday"":[""0900"",""2100""],""Monday"":[""0900"",""2100""],""Tuesday"":[""0900"",""2100""],""Wednesday"":[""0900"",""2100""],""Thursday"":[""0900"",""2100""],""Friday"":[""0900"",""2100""],""Saturday"":[""0900"",""2100""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ef/a4/41/cloud-forest.jpg?w=1200&h=-1&s=1,Central Area/City Area,Nature and parks
Jurong Bird Park,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d315466-Reviews-Jurong_Bird_Park-Singapore.html,180,5217,46.29,"2 Jurong Hill, Singapore 628925 Singapore","{""Sunday"":[""0830"",""1800""],""Monday"":[],""Tuesday"":[],""Wednesday"":[],""Thursday"":[""0830"",""1800""],""Friday"":[""0830"",""1800""],""Saturday"":[""0830"",""1800""]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/0b/76/4c/mal-singapore11-059-largejpg.jpg?w=1200&h=-1&s=1,Boon Lay,Nature and parks
MacRitchie Nature Trail,https://www.tripadvisor.com.sg/Attraction_Review-g294265-d386880-Reviews-MacRitchie_Nature_Trail-Singapore.html,180,13009,,"MacRitchie Reservoir Park, Singapore 298717 Singapore","{""Sunday"":[],""Monday"":[],""Tuesday"":[],""Wednesday"":[],""Thursday"":[],""Friday"":[],""Saturday"":[]}",4.5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/48/f9/c4/tree-top-walk-suspension.jpg?w=1200&h=-1&s=1,Central Water Catchment,Nature and parks
River Wonder Safari,https://www.tripadvisor.com.sg/AttractionProductReview-g294265-d16913175-River_Wonder_Safari-Singapore.html,180,3032,,"80 Mandai Lake Road Singapore Zoological Gardens Singapore Zoological Gardens, Singapore 729826 Singapore","{""Sunday"":[""1000"",""1900""],""Monday"":[""1000"",""1900""],""Tuesday"":[""1000"",""1900""],""Wednesday"":[""1000"",""1900""],""Thursday"":[""1000"",""1900""],""Friday"":[""1000"",""1900""],""Saturday"":[""1000"",""1900""]}",4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/d8/e5/d0/be-amazed-by-the-world.jpg?w=1200&h=-1&s=1,Central Water Catchment,Nature and parks
